X,Y,TOWN_NO,TOWN,TOTAL_SQMI,LAND_SQMI,WATER_SQMI,COUNTY,PLAN_ORG,DEP_DIST,COAST_AREA
-73.499181708074,41.5800698592504,"127",Sherman,23.50,22.00,1.50,Fairfield,Housatonic Valley,DEP Western District,
-72.1432405366617,41.6153242786404,"53",Franklin,20.00,20.00,0.00,New London,Southeastern Conn,DEP Eastern District,
-72.0758082998052,41.6304321472755,"133",Sprague,13.40,12.80,0.60,New London,Southeastern Conn,DEP Eastern District,
-72.8800272635791,41.6048917088613,"131",Southington,36.90,36.80,0.10,Hartford,Central Connecticut,DEP Western District,
-72.7760152465437,41.6111577680927,"7",Berlin,27.00,26.80,0.20,Hartford,Central Connecticut,DEP Western District,
-72.0141633619589,41.6014468231256,"73",Lisbon,16.50,16.20,0.30,New London,Southeastern Conn,DEP Eastern District,
-71.832464335089,41.5798896186091,"147",Voluntown,39.70,39.00,0.70,New London,Southeastern Conn,DEP Eastern District,
-72.5074074836945,41.569590883116,"42",East Hampton,36.80,35.60,1.20,Middlesex,Midstate,DEP Eastern District,
-71.9227438288552,41.5852054411731,"58",Griswold,37.60,35.10,2.50,New London,Southeastern Conn,DEP Eastern District,
-72.9731820072739,41.6006625827308,"166",Wolcott,20.60,20.00,0.60,New Haven,Central Naug Valley,DEP Western District,
-72.5885378812523,41.5993369576271,"113",Portland,23.70,23.30,0.40,Middlesex,Midstate,DEP Eastern District,
-72.663730492445,41.6121591120648,"33",Cromwell,13.50,12.30,1.20,Middlesex,Midstate,DEP Western District,
-72.3472757119986,41.5620266026866,"28",Colchester,48.70,47.90,0.80,New London,Southeastern Conn,DEP Eastern District,
-73.0360213515486,41.5582594181289,"151",Waterbury,28.80,28.60,0.20,New Haven,Central Naug Valley,DEP Western District,
-73.2072072617249,41.5613607726706,"168",Woodbury,36.80,36.70,0.10,Litchfield,Central Naug Valley,DEP Western District,
-72.0882419909586,41.5493955315921,"104",Norwich,27.10,26.10,1.00,New London,Southeastern Conn,DEP Eastern District,OLISP Coastal Area
-73.3005685694419,41.5539629750069,"120",Roxbury,26.40,26.40,0.00,Litchfield,Northwestern Conn,DEP Western District,
